time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,rain_sum,precipitation_hours,wind_speed_10m_max,shortwave_radiation_sum,year,month,day
2020-01-01,24.1,6.5,15.7,0.0,0.0,20.9,19.38,2020,1,1
2020-01-02,21.0,11.2,15.5,0.0,0.0,22.5,18.14,2020,1,2
2020-01-03,23.4,7.9,14.9,0.0,0.0,20.4,18.75,2020,1,3
2020-01-04,18.8,5.9,10.9,0.0,0.0,15.6,18.39,2020,1,4
2020-01-05,22.1,2.7,11.5,0.0,0.0,12.4,19.98,2020,1,5
2020-01-06,24.4,3.7,13.7,0.0,0.0,16.5,20.23,2020,1,6
2020-01-07,20.8,7.6,14.1,0.0,0.0,20.5,20.44,2020,1,7
2020-01-08,22.3,5.2,12.6,0.0,0.0,16.6,19.77,2020,1,8
2020-01-09,24.0,6.1,14.2,0.0,0.0,16.2,20.07,2020,1,9
2020-01-10,24.5,4.7,14.4,0.0,0.0,21.3,20.63,2020,1,10
2020-01-11,24.0,6.9,15.0,0.0,0.0,13.9,20.26,2020,1,11
2020-01-12,24.4,5.5,14.5,0.0,0.0,13.3,20.12,2020,1,12
2020-01-13,23.9,9.3,15.9,0.0,0.0,15.5,19.97,2020,1,13
2020-01-14,24.4,7.9,15.9,0.0,0.0,17.1,20.01,2020,1,14
2020-01-15,24.1,10.6,16.4,0.0,0.0,14.3,17.45,2020,1,15
2020-01-16,22.8,12.1,16.3,1.4,7.0,21.9,16.63,2020,1,16
2020-01-17,23.4,8.8,15.3,0.0,0.0,18.9,18.95,2020,1,17
2020-01-18,22.1,9.5,15.3,1.3,4.0,18.5,16.88,2020,1,18
2020-01-19,18.1,11.5,13.8,3.3,12.0,18.1,10.47,2020,1,19
2020-01-20,17.1,8.0,12.2,1.9,4.0,15.1,12.37,2020,1,20
2020-01-21,17.3,4.3,10.1,0.0,0.0,11.8,17.56,2020,1,21
2020-01-22,21.2,4.4,12.6,0.0,0.0,20.7,20.76,2020,1,22
2020-01-23,19.6,5.2,12.5,0.0,0.0,16.7,14.58,2020,1,23
2020-01-24,19.5,10.1,13.9,0.1,1.0,13.9,15.16,2020,1,24
2020-01-25,22.0,6.4,14.0,0.0,0.0,18.9,18.91,2020,1,25
2020-01-26,21.4,5.7,13.9,0.0,0.0,14.8,18.34,2020,1,26
2020-01-27,24.0,7.4,15.1,0.0,0.0,15.9,21.75,2020,1,27
2020-01-28,23.1,1.4,13.0,0.0,0.0,18.0,21.99,2020,1,28
2020-01-29,23.3,5.5,13.8,0.0,0.0,24.8,22.09,2020,1,29
2020-01-30,22.2,6.5,14.9,0.0,0.0,22.4,20.32,2020,1,30
2020-01-31,22.6,7.3,14.8,0.1,1.0,21.0,18.14,2020,1,31
2020-03-01,28.1,9.8,18.9,0.0,0.0,20.6,23.97,2020,3,1
2020-03-02,27.9,13.1,19.9,0.0,0.0,22.9,22.01,2020,3,2
2020-03-03,26.4,9.5,18.7,0.0,0.0,24.2,25.93,2020,3,3
2020-03-04,28.0,7.5,18.2,0.0,0.0,22.9,26.24,2020,3,4
2020-03-05,27.9,10.9,18.0,0.0,0.0,22.3,24.38,2020,3,5
2020-03-06,23.9,7.5,13.7,0.1,1.0,23.1,21.27,2020,3,6
2020-03-07,25.4,5.6,14.3,0.0,0.0,19.2,23.98,2020,3,7
2020-03-08,26.3,7.9,16.3,0.0,0.0,22.5,25.61,2020,3,8
2020-03-09,27.2,7.9,17.8,0.0,0.0,21.6,25.42,2020,3,9
2020-03-10,27.2,10.0,18.1,0.1,1.0,21.6,23.93,2020,3,10
2020-03-11,26.4,11.9,18.7,0.0,0.0,17.4,22.09,2020,3,11
2020-03-12,27.6,11.7,20.2,0.0,0.0,18.1,23.48,2020,3,12
2020-03-13,27.7,11.6,20.3,0.3,1.0,16.1,21.73,2020,3,13
2020-03-14,28.2,14.0,20.6,0.1,1.0,24.0,23.4,2020,3,14
2020-03-15,27.4,12.1,19.9,1.3,1.0,20.6,23.23,2020,3,15
2020-03-16,25.2,13.3,17.2,2.8,3.0,16.9,19.44,2020,3,16
2020-03-17,24.9,10.8,18.0,0.1,1.0,15.3,24.46,2020,3,17
2020-03-18,25.5,10.8,18.6,0.1,1.0,13.8,21.94,2020,3,18
2020-03-19,28.4,12.3,20.3,0.6,3.0,23.8,24.13,2020,3,19
2020-03-20,28.1,13.3,20.6,0.2,2.0,22.1,24.7,2020,3,20
2020-03-21,25.1,14.1,18.8,1.8,7.0,14.3,21.71,2020,3,21
2020-03-22,27.8,10.9,19.2,0.0,0.0,13.8,26.59,2020,3,22
2020-03-23,28.8,11.0,19.9,0.0,0.0,17.1,28.59,2020,3,23
2020-03-24,30.7,13.3,21.8,0.0,0.0,13.2,28.8,2020,3,24
2020-03-25,31.0,11.3,21.8,0.0,0.0,21.0,28.55,2020,3,25
2020-03-26,31.4,11.2,21.3,0.0,0.0,21.2,28.84,2020,3,26
2020-03-27,31.1,10.5,21.0,0.0,0.0,25.2,29.06,2020,3,27
2020-03-28,30.4,12.6,21.0,0.0,0.0,21.7,28.18,2020,3,28
2020-03-29,30.0,12.3,20.7,0.0,0.0,22.2,28.55,2020,3,29
2020-03-30,29.6,11.5,20.8,0.0,0.0,20.8,28.53,2020,3,30
2020-03-31,28.9,14.1,21.3,0.0,0.0,23.0,28.76,2020,3,31
2020-05-01,24.4,10.0,16.5,1.0,4.0,28.7,24.33,2020,5,1
2020-05-02,26.2,8.1,18.2,0.0,0.0,24.3,27.74,2020,5,2
2020-05-03,28.9,10.2,20.2,0.0,0.0,23.4,30.01,2020,5,3
2020-05-04,30.1,12.3,22.0,0.1,1.0,15.1,27.26,2020,5,4
2020-05-05,28.8,15.8,20.8,2.6,4.0,24.7,24.66,2020,5,5
2020-05-06,25.6,13.4,18.4,5.0,10.0,23.5,24.97,2020,5,6
2020-05-07,21.5,12.8,16.3,0.6,2.0,19.1,20.59,2020,5,7
2020-05-08,23.5,8.6,16.8,0.9,4.0,9.9,24.94,2020,5,8
2020-05-09,22.2,11.6,16.3,1.7,7.0,16.2,21.99,2020,5,9
2020-05-10,23.7,12.2,17.1,1.8,4.0,16.6,24.14,2020,5,10
2020-05-11,23.0,11.0,16.7,0.3,3.0,17.7,20.48,2020,5,11
2020-05-12,25.5,10.0,18.6,0.2,2.0,23.6,25.05,2020,5,12
2020-05-13,27.3,11.2,19.6,0.0,0.0,18.5,24.29,2020,5,13
2020-05-14,26.6,12.3,20.5,0.0,0.0,17.2,24.86,2020,5,14
2020-05-15,28.5,11.5,20.6,0.0,0.0,20.7,22.17,2020,5,15
2020-05-16,28.0,10.4,20.2,0.0,0.0,23.1,26.61,2020,5,16
2020-05-17,28.6,10.6,20.4,0.0,0.0,21.2,25.97,2020,5,17
2020-05-18,28.0,12.3,21.0,0.2,1.0,16.8,25.42,2020,5,18
2020-05-19,28.9,12.1,21.5,0.0,0.0,11.5,25.67,2020,5,19
2020-05-20,28.2,15.6,21.9,0.0,0.0,21.0,23.98,2020,5,20
2020-05-21,28.9,13.7,21.3,0.1,1.0,23.3,25.02,2020,5,21
2020-05-22,28.4,13.1,21.2,0.0,0.0,17.9,26.07,2020,5,22
2020-05-23,29.4,12.2,21.5,0.0,0.0,25.3,25.98,2020,5,23
2020-05-24,28.8,15.2,21.9,0.0,0.0,24.5,26.28,2020,5,24
2020-05-25,29.4,11.0,21.7,0.0,0.0,25.8,29.71,2020,5,25
2020-05-26,30.6,10.8,22.0,0.0,0.0,28.9,30.32,2020,5,26
2020-05-27,29.5,13.1,21.6,0.2,1.0,21.9,25.34,2020,5,27
2020-05-28,27.4,13.0,19.7,2.9,4.0,24.3,23.31,2020,5,28
2020-05-29,25.9,11.7,18.3,0.5,3.0,24.7,23.97,2020,5,29
2020-05-30,25.1,11.1,17.2,0.1,1.0,18.7,24.6,2020,5,30
2020-05-31,23.8,11.5,17.1,8.3,5.0,14.0,20.88,2020,5,31
2020-07-01,23.8,13.9,18.5,6.9,7.0,10.8,26.08,2020,7,1
2020-07-02,23.6,13.4,18.0,7.5,11.0,15.7,24.79,2020,7,2
2020-07-03,24.1,13.1,17.9,1.8,8.0,13.2,25.61,2020,7,3
2020-07-04,22.4,12.7,17.4,1.2,8.0,9.9,22.9,2020,7,4
2020-07-05,22.9,13.5,17.2,14.8,11.0,15.4,19.09,2020,7,5
2020-07-06,20.9,13.9,17.2,6.0,13.0,12.7,17.03,2020,7,6
2020-07-07,23.2,13.3,17.9,5.0,8.0,17.3,22.27,2020,7,7
2020-07-08,22.2,13.8,17.4,2.4,10.0,18.9,18.16,2020,7,8
2020-07-09,22.3,14.0,16.7,8.2,9.0,13.0,18.08,2020,7,9
2020-07-10,25.2,10.8,17.7,0.0,0.0,14.9,26.37,2020,7,10
2020-07-11,23.0,12.6,17.1,2.4,10.0,12.1,17.28,2020,7,11
2020-07-12,23.5,12.1,17.3,2.1,5.0,15.8,25.11,2020,7,12
2020-07-13,24.4,13.0,18.1,1.1,4.0,14.2,27.72,2020,7,13
2020-07-14,24.9,13.0,18.0,1.5,3.0,14.8,25.1,2020,7,14
2020-07-15,24.6,14.2,18.3,3.5,7.0,10.0,25.51,2020,7,15
2020-07-16,25.8,13.1,18.9,2.3,2.0,11.0,25.63,2020,7,16
2020-07-17,23.8,12.3,18.0,0.4,4.0,10.8,26.39,2020,7,17
2020-07-18,24.3,11.1,18.2,0.2,2.0,19.4,25.01,2020,7,18
2020-07-19,25.6,13.3,18.2,4.2,4.0,17.6,25.75,2020,7,19
2020-07-20,24.5,13.8,18.2,2.9,6.0,19.7,24.81,2020,7,20
2020-07-21,25.4,14.6,19.1,0.6,2.0,13.8,25.0,2020,7,21
2020-07-22,23.9,14.0,18.5,2.3,6.0,17.1,24.54,2020,7,22
2020-07-23,25.3,13.5,18.4,9.1,8.0,17.6,24.42,2020,7,23
2020-07-24,22.8,14.4,17.9,5.3,8.0,18.5,20.5,2020,7,24
2020-07-25,23.6,14.1,18.3,0.6,4.0,14.3,21.27,2020,7,25
2020-07-26,23.3,13.8,18.5,0.1,1.0,11.5,17.49,2020,7,26
2020-07-27,22.6,12.7,17.9,0.2,1.0,15.0,18.01,2020,7,27
2020-07-28,22.2,14.4,18.0,4.5,13.0,13.7,14.14,2020,7,28
2020-07-29,23.6,14.2,17.9,1.1,5.0,13.4,18.49,2020,7,29
2020-07-30,24.2,14.1,18.4,6.8,15.0,9.4,23.51,2020,7,30
2020-07-31,22.2,13.8,17.2,13.7,17.0,12.1,22.81,2020,7,31
2020-08-01,22.8,13.4,17.0,7.5,7.0,20.8,21.88,2020,8,1
2020-08-02,20.8,13.1,16.7,11.6,13.0,13.6,19.06,2020,8,2
2020-08-03,21.0,13.7,16.8,9.4,11.0,12.4,19.66,2020,8,3
2020-08-04,22.0,14.3,17.3,20.6,14.0,11.5,21.21,2020,8,4
2020-08-05,24.1,13.4,18.3,1.5,4.0,15.9,25.68,2020,8,5
2020-08-06,24.1,12.9,17.9,4.0,7.0,12.6,24.83,2020,8,6
2020-08-07,25.2,12.9,18.1,1.0,9.0,18.8,24.98,2020,8,7
2020-08-08,20.1,13.7,16.6,14.4,15.0,13.0,12.3,2020,8,8
2020-08-09,20.7,13.5,16.6,16.6,22.0,13.3,18.04,2020,8,9
2020-08-10,22.4,14.5,17.3,27.9,21.0,9.7,22.08,2020,8,10
2020-08-11,21.8,13.7,17.2,7.9,12.0,13.0,22.2,2020,8,11
2020-08-12,20.6,13.6,16.8,1.4,9.0,10.7,15.45,2020,8,12
2020-08-13,22.6,11.5,16.8,0.0,0.0,17.1,22.38,2020,8,13
2020-08-14,21.8,13.2,16.5,12.0,12.0,13.2,23.76,2020,8,14
2020-08-15,20.8,11.7,16.0,9.2,7.0,8.2,21.5,2020,8,15
2020-08-16,21.7,12.9,16.7,1.8,7.0,19.3,21.4,2020,8,16
2020-08-17,22.1,11.8,16.6,7.7,9.0,11.5,23.36,2020,8,17
2020-08-18,22.0,13.0,17.1,2.6,11.0,11.8,21.83,2020,8,18
2020-08-19,20.8,14.0,16.7,10.8,9.0,11.8,18.23,2020,8,19
2020-08-20,20.8,14.2,16.7,15.0,16.0,10.8,18.75,2020,8,20
2020-08-21,22.5,12.3,17.1,1.1,7.0,11.5,23.38,2020,8,21
2020-08-22,23.8,12.5,17.5,0.8,5.0,14.5,26.78,2020,8,22
2020-08-23,23.6,12.0,17.4,0.5,3.0,18.8,25.25,2020,8,23
2020-08-24,22.8,14.0,17.1,10.4,15.0,13.4,16.84,2020,8,24
2020-08-25,21.0,13.8,16.8,8.0,18.0,14.3,14.16,2020,8,25
2020-08-26,20.8,14.2,17.2,8.5,17.0,8.7,18.24,2020,8,26
2020-08-27,23.2,12.7,16.9,7.6,10.0,12.7,20.15,2020,8,27
2020-08-28,21.8,14.0,17.3,11.1,8.0,10.1,20.72,2020,8,28
2020-08-29,20.9,14.3,17.3,17.1,14.0,7.7,17.88,2020,8,29
2020-08-30,24.0,13.1,17.7,2.0,3.0,17.6,22.25,2020,8,30
2020-08-31,23.6,11.5,17.1,0.4,2.0,17.4,24.73,2020,8,31
2020-10-01,21.5,7.7,14.0,0.0,0.0,18.3,25.16,2020,10,1
2020-10-02,19.1,4.7,11.5,0.0,0.0,16.4,26.76,2020,10,2
2020-10-03,20.8,8.4,13.5,0.7,7.0,18.2,22.82,2020,10,3
2020-10-04,21.7,9.6,14.0,0.3,3.0,21.4,21.12,2020,10,4
2020-10-05,20.5,5.2,12.5,0.0,0.0,15.1,26.07,2020,10,5
2020-10-06,21.9,6.6,13.5,0.0,0.0,13.3,26.0,2020,10,6
2020-10-07,22.3,5.6,14.0,0.0,0.0,14.5,26.4,2020,10,7
2020-10-08,24.2,7.4,15.6,0.0,0.0,15.8,26.26,2020,10,8
2020-10-09,23.5,12.4,17.8,3.8,6.0,10.7,21.99,2020,10,9
2020-10-10,25.8,12.1,18.7,1.3,3.0,16.2,23.12,2020,10,10
2020-10-11,25.2,14.0,18.9,2.9,4.0,13.7,23.76,2020,10,11
2020-10-12,24.6,12.8,18.2,1.2,5.0,16.6,20.27,2020,10,12
2020-10-13,24.9,13.0,18.1,4.1,7.0,15.3,21.17,2020,10,13
2020-10-14,26.2,11.8,17.9,0.4,4.0,22.2,22.07,2020,10,14
2020-10-15,26.8,12.4,18.8,0.0,0.0,22.2,22.99,2020,10,15
2020-10-16,25.2,10.0,17.1,0.0,0.0,25.3,21.07,2020,10,16
2020-10-17,24.0,8.6,16.6,0.1,1.0,17.1,24.24,2020,10,17
2020-10-18,24.8,10.3,17.1,1.1,1.0,12.0,22.38,2020,10,18
2020-10-19,26.3,13.2,18.6,0.8,3.0,19.8,21.96,2020,10,19
2020-10-20,25.6,11.6,18.0,0.4,4.0,20.9,23.72,2020,10,20
2020-10-21,25.8,13.1,18.2,0.1,1.0,15.6,22.71,2020,10,21
2020-10-22,26.3,11.0,18.2,0.0,0.0,14.3,24.18,2020,10,22
2020-10-23,27.5,11.5,18.5,0.0,0.0,20.9,24.4,2020,10,23
2020-10-24,25.9,8.7,17.1,0.0,0.0,18.1,24.37,2020,10,24
2020-10-25,25.7,8.0,16.8,0.0,0.0,13.4,24.02,2020,10,25
2020-10-26,26.8,11.6,18.5,0.0,0.0,10.8,24.42,2020,10,26
2020-10-27,27.0,10.2,18.0,0.0,0.0,17.4,23.17,2020,10,27
2020-10-28,26.7,11.0,18.2,0.0,0.0,15.8,21.65,2020,10,28
2020-10-29,26.0,12.8,18.7,0.1,1.0,18.2,18.89,2020,10,29
2020-10-30,24.0,10.7,16.3,0.3,3.0,17.6,20.17,2020,10,30
2020-10-31,25.2,9.6,17.3,0.0,0.0,13.1,20.98,2020,10,31
2020-12-01,22.0,6.3,13.5,0.0,0.0,15.3,17.54,2020,12,1
2020-12-02,21.6,7.5,14.4,0.0,0.0,14.3,17.72,2020,12,2
2020-12-03,23.1,7.9,14.2,0.0,0.0,20.4,18.54,2020,12,3
2020-12-04,23.2,6.1,14.5,0.0,0.0,21.3,18.64,2020,12,4
2020-12-05,23.9,7.5,15.3,0.0,0.0,21.6,18.99,2020,12,5
2020-12-06,22.2,7.2,14.8,0.0,0.0,15.1,17.89,2020,12,6
2020-12-07,19.0,9.8,14.0,0.0,0.0,14.4,14.88,2020,12,7
2020-12-08,21.0,6.7,13.6,0.1,1.0,17.7,16.08,2020,12,8
2020-12-09,21.6,8.2,14.9,0.0,0.0,15.9,16.8,2020,12,9
2020-12-10,22.9,9.3,15.8,0.0,0.0,15.5,17.07,2020,12,10
2020-12-11,24.1,12.8,17.4,0.4,2.0,11.3,18.64,2020,12,11
2020-12-12,23.0,8.9,15.9,0.0,0.0,17.0,17.52,2020,12,12
2020-12-13,24.7,6.8,15.7,0.0,0.0,20.8,19.35,2020,12,13
2020-12-14,23.0,10.1,15.7,0.0,0.0,22.2,18.14,2020,12,14
2020-12-15,24.4,6.7,15.3,0.1,1.0,11.2,18.96,2020,12,15
2020-12-16,22.2,9.8,15.1,0.0,0.0,18.8,16.31,2020,12,16
2020-12-17,21.8,7.0,14.1,0.0,0.0,13.6,17.63,2020,12,17
2020-12-18,22.2,6.4,14.4,0.0,0.0,14.5,17.51,2020,12,18
2020-12-19,22.7,10.6,16.2,0.0,0.0,14.7,18.39,2020,12,19
2020-12-20,21.8,9.5,15.6,0.2,2.0,17.8,16.61,2020,12,20
2020-12-21,21.4,8.4,15.0,0.0,0.0,9.1,16.9,2020,12,21
2020-12-22,23.1,9.7,16.0,0.0,0.0,12.2,17.8,2020,12,22
2020-12-23,23.7,7.4,15.5,0.0,0.0,15.6,18.71,2020,12,23
2020-12-24,22.8,7.4,14.8,0.0,0.0,21.3,19.98,2020,12,24
2020-12-25,21.0,2.4,11.4,0.0,0.0,12.3,17.77,2020,12,25
2020-12-26,23.5,5.1,14.2,0.0,0.0,14.7,19.8,2020,12,26
2020-12-27,21.7,5.4,13.9,0.0,0.0,13.7,20.49,2020,12,27
